номер,обоснование,наименование,ед_изм,кол_на_ед,коэф1,всего_коэф,база_ед,индекс,тек_ед,коэф2,всего_руб,row_index,раздел,вид_работ,тип_работы,категория
,Пр/774-051.1,СП Прокладка и монтаж сетей связи,%,46.0,,46.0,,,,,100.92,643,Раздел 3. Адаптация входной группы (внутри),Демонтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,522.17,,522.17,644,Раздел 3. Адаптация входной группы (внутри),Демонтажные работы,,монтажные работы
Монтажные работы,,,,,,,,,,,,645,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
74,ГЭСН10-01-047-02,"Установка блоков из ПВХ в наружных и внутренних дверных проемах: в каменных стенах площадью проема более 3 м2(Прим. дверь Д1 размером 1500мм*2100мм(h), 1шт)",100 м2,0.0315,1.0,0.0315,,,,,,646,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,"Объем=(1,5*2,1*1) / 100",,,,,,,,,,647,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,3.860955,,,,,1377.28,648,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,1-100-32,"Средний разряд работы 3,2",чел.-ч,122.57,,3.860955,,,356.72,,1377.28,649,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,64.12,650,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.1197,,,,,46.18,651,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,91.06.06-048,"Подъемники одномачтовые, грузоподъемность до 500 кг, высота подъема 45 м",маш.-ч,0.52,,0.01638,37.32,1.48,55.23,,0.9,652,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,4-100-030,ОТм(Зтм) Средний разряд машинистов 3,чел.-ч,0.52,,0.01638,,,347.94,,5.7,653,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,3.28,,0.10332,,,611.87,,63.22,654,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,3.28,,0.10332,,,391.8,,40.48,655,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,1150.57,656,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,01.7.03.04-0001,Электроэнергия,кВт-ч,11.63,,0.366345,,,8.46,,3.1,657,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,01.7.06.02-0001,"Ленты гидроизоляционные, паропроницаемые бутилкаучуковые, из нетканого материала мембранного типа, с липким покрытием по краям с внутренней стороны и антиадгезионным покрытием, цвет бежевый, ширина 80 мм",м,258.0,,8.127,24.39,1.54,37.56,,305.25,658,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,01.7.06.11-0001,"Ленты предварительно сжатые уплотнительные саморасширяющиеся на основе пенополиуретана, с липким слоем с одной стороны, ширина 10 мм, толщина в сжатом состоянии 4 мм, толщина в расширенном состоянии 20 мм",10 м,15.1,,0.47565,158.82,1.54,244.58,,116.33,659,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,01.7.14.01-0002,"Герметик пенополиуретановый (пена монтажная) универсальный, объем 1000 мл",шт,52.73,,1.660995,241.35,1.23,296.86,,493.08,660,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,01.7.15.07-0005,"Дюбели стальные рамные монтажные, диаметр 10 мм, длина 130 (132) мм",10 шт,31.1,,0.97965,92.73,1.26,116.84,,114.46,661,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,11.3.03.15-0021,Клинья пластиковые монтажные,100 шт,8.0,,0.252,369.8,1.27,469.65,,118.35,662,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
Н,11.3.01.02,Блоки дверные входные из поливинилхлоридных профилей,м2,100.0,,3.15,,,,,,663,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,2638.15,664,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,1423.46,665,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/812-010.0-1,НР Деревянные конструкции,%,108.0,,108.0,,,,,1537.34,666,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/774-010,СП Деревянные конструкции,%,55.0,,55.0,,,,,782.9,667,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,157409.21,,4958.39,668,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
75,ТЦ_09.4.02.01_71_7100000000_01.09.2025_02_46.1,"Kaleva Aluvet Glass Standart: PD65, размером 1500 x 2100,RAL8019 матовый",шт,1.0,1.0,1.0,,,240763.86,,240763.86,669,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,(Деревянные конструкции),,,,,,,,,,670,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,240763.86,671,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
76,ГЭСН10-01-049-02,Установка: дверного доводчика,100 шт,0.01,1.0,0.01,,,,,,672,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,Объем=1 / 100,,,,,,,,,,673,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.2656,,,,,102.9,674,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,1-100-39,"Средний разряд работы 3,9",чел.-ч,26.56,,0.2656,,,387.42,,102.9,675,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,1.77,676,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.0014,,,,,0.67,677,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,91.05.05-015,"Краны на автомобильном ходу, грузоподъемность 16 т",маш.-ч,0.09,,0.0009,,,1626.46,,1.46,678,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,4-100-060,ОТм(Зтм) Средний разряд машинистов 6,чел.-ч,0.09,,0.0009,,,526.3,,0.47,679,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.05,,0.0005,,,611.87,,0.31,680,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.05,,0.0005,,,391.8,,0.2,681,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,0.47,682,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,01.7.03.04-0001,Электроэнергия,кВт-ч,5.5,,0.055,,,8.46,,0.47,683,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
Н,01.7.04.01,Доводчики дверные,шт,100.0,,1.0,,,,,,684,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,105.81,685,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,103.57,686,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/812-010.0-1,НР Деревянные конструкции,%,108.0,,108.0,,,,,111.86,687,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/774-010,СП Деревянные конструкции,%,55.0,,55.0,,,,,56.96,688,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,27463.0,,274.63,689,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
77,ФСБЦ-01.7.04.01-1012,"Доводчик дверной рычажный для распашных дверей шириной до 1100 мм, масса двери до 80 кг(доводчик с усилием открывания 19,5кН*М С фоп 5 СЕКУНД)",шт,1.0,1.0,1.0,1705.98,1.12,1910.7,,1910.7,690,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,(Деревянные конструкции),,,,,,,,,,691,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,1910.7,692,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
78,ГЭСН15-06-005-02,Оклейка предварительно подготовленных поверхностей фотообоями: самоклеящимися( прим.),100 м2,0.001256,1.0,0.001256,,,,,,693,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,"Объем=(3,14*0,1*0,1*4) / 100",,,,,,,,,,694,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.048871,,,,,19.15,695,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,1-100-40,"Средний разряд работы 4,0",чел.-ч,38.91,,0.048871,,,391.8,,19.15,696,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
Н,01.6.02.01,Обои,100 м2,1.1,,0.0013816,,,,,,697,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,19.15,698,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,19.15,699,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/812-015.0-1,НР Отделочные работы,%,100.0,,100.0,,,,,19.15,700,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/774-015,СП Отделочные работы,%,49.0,,49.0,,,,,9.38,701,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,37961.78,,47.68,702,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
79,ТЦ_01.7.06.14_71_6915010809_28.07.2025_02_28.1,Пиктограмма G-07 Осторожно! Препятствие. На основе полистирола 150x150х4мм,шт,4.0,1.0,4.0,,,452.88,,1811.52,703,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,(Материалы),,,,,,,,,,704,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,1811.52,705,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
80,ГЭСН09-05-014-02,"Установка номерных табличек: для этажа, подъезда( Прим.)",шт,2.0,1.0,2.0,,,,,,706,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,Объем=1+1,,,,,,,,,,707,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,1.04,,,,,361.86,708,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,1-100-30,"Средний разряд работы 3,0",чел.-ч,0.52,,1.04,,,347.94,,361.86,709,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,30.01,710,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,01.7.15.07-0010,"Дюбели пластмассовые с шурупами, диаметр 10 мм, длина 50-60 мм, диаметр шурупа 6 мм, длина шурупа 50-80 мм",100 шт,0.02,,0.04,595.38,1.26,750.18,,30.01,711,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
Н,20.3.04.02,"Знаки, таблички",шт,1.0,,2.0,,,,,,712,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,391.87,713,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,361.86,714,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/812-009.0-1,НР Строительные металлические конструкции,%,93.0,,93.0,,,,,336.53,715,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/774-009,СП Строительные металлические конструкции,%,62.0,,62.0,,,,,224.35,716,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,476.38,,952.75,717,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
81,ТЦ_01.7.06.14_71_6915012732_02.08.2025_02_43.1,Тактильно-звуковая мнемосхема для помещения,шт,1.0,1.0,1.0,,,58296.06,,58296.06,718,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,(Материалы),,,,,,,,,,719,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,58296.06,720,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
82,ТЦ_01.7.06.14_71_6670319178_02.08.2025_02_52.1,Тактильная пиктограмма СП12 Место для мнемосхемы 150x150 мм,шт,1.0,1.0,1.0,,,272.0,,272.0,721,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,(Материалы),,,,,,,,,,722,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,272.0,723,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
83,ГЭСНм08-01-081-04,"Аппарат (кнопка, ключ управления, замок электромагнитной блокировки, звуковой сигнал, сигнальная лампа) управления и сигнализации, количество подключаемых концов до 2: однопроволочного провода (жил кабеля)",100 шт,0.01,1.0,0.01,,,,,,724,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,Объем=(1*0+1*0+1) / 100,,,,,,,,,,725,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.354,,,,,138.7,726,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,1-100-40,"Средний разряд работы 4,0",чел.-ч,35.4,,0.354,,,391.8,,138.7,727,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,0.67,728,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.0011,,,,,0.43,729,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.11,,0.0011,,,611.87,,0.67,730,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.11,,0.0011,,,391.8,,0.43,731,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,12.03,732,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,01.7.15.03-0042,Болты с гайками и шайбами строительные,кг,5.98,,0.0598,174.93,1.15,201.17,,12.03,733,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,151.83,734,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
83.1,421/пр_2020_п.75_пп.а,Вспомогательные ненормируемые материальные ресурсы,%,2.0,,2.0,,,,,2.77,735,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,139.13,736,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/812-049.3-1,НР Электротехнические установки на других объектах,%,97.0,,97.0,,,,,134.96,737,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/774-049.3,СП Электротехнические установки на других объектах,%,51.0,,51.0,,,,,70.96,738,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,36052.0,,360.52,739,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
84,ТЦ_61.2.00.00_71_6670319178_02.08.2025_02_53.1,Приемник сигналов ТИФЛОВЫЗОВ ПС-1999,шт,1.0,1.0,1.0,,,8993.0,,8993.0,740,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,(Материалы),,,,,,,,,,741,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,8993.0,742,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
85,ГЭСН11-01-038-05,Устройство покрытий из плиток поливинилхлоридных: тактильных размером 500х500 мм на клее,100 шт,0.2,1.0,0.2,,,,,,743,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,Объем=20 / 100,,,,,,,,,,744,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,1.482,,,,,541.66,745,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,1-100-34,"Средний разряд работы 3,4",чел.-ч,7.41,,1.482,,,365.49,,541.66,746,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,44.62,747,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.078,,,,,30.12,748,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,91.06.06-048,"Подъемники одномачтовые, грузоподъемность до 500 кг, высота подъема 45 м",маш.-ч,0.05,,0.01,37.32,1.48,55.23,,0.55,749,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,4-100-030,ОТм(Зтм) Средний разряд машинистов 3,чел.-ч,0.05,,0.01,,,347.94,,3.48,750,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.34,,0.068,,,611.87,,41.61,751,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.34,,0.068,,,391.8,,26.64,752,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,91.21.22-638,"Пылесосы промышленные, мощность до 2000 Вт",маш.-ч,1.25,,0.25,,,9.84,,2.46,753,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
Н,01.6.03.01,Плитка тактильная поливинилхлоридная,м2,25.38,,5.076,,,,,,754,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
Н,14.1.02.04,Состав клеящий,кг,8.0,,1.6,,,,,,755,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
Н,14.4.01.02,Грунтовки на акриловой основе,кг,2.5,,0.5,,,,,,756,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,616.4,757,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,571.78,758,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/812-011.0-1,НР Полы,%,112.0,,112.0,,,,,640.39,759,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/774-011,СП Полы,%,65.0,,65.0,,,,,371.66,760,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,8142.25,,1628.45,761,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
86,ФСБЦ-14.4.01.02-0012,"Грунтовка укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая",кг,0.5,1.0,0.5,68.29,1.5,102.44,,51.22,762,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,(Полы),,,,,,,,,,763,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,51.22,764,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
87,ФСБЦ-01.6.01.11-0045,"Плитки тактильные из резинополиуретана, размеры 500х500 мм, толщина с учетом высоты тактильных элементов 5 мм",м2,5.076,1.0,5.076,1728.85,1.51,2610.56,,13251.2,765,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,(Полы),,,,,,,,,,766,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,13251.2,767,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
88,ФСБЦ-14.2.06.09-1014,"Средство связующее полиуретановое для изготовления изделий из резиновой/каучуковой крошки и устройства высокопрочных эластичных покрытий, вязкость 4,5-6,5 Па*с при температуре +23 °C, плотность 1,06-1,12 г/см3( прим. Двухкомпонентный клей Fixvert-S для монтажа тактильной плитки из нержавеющей стали. Расход 1 кг клея/1м2)",кг,5.0,1.0,5.0,338.36,1.5,507.54,,2537.7,768,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,(Полы),,,,,,,,,,769,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,"Объем=0,48*0+0,5*0,5*20*1,0",,,,,,,,,,770,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,2537.7,771,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
89,ГЭСН09-05-014-02,"Установка номерных табличек: для этажа, подъезда( Прим.)",шт,2.0,1.0,2.0,,,,,,772,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,1.04,,,,,361.86,773,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,1-100-30,"Средний разряд работы 3,0",чел.-ч,0.52,,1.04,,,347.94,,361.86,774,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,30.01,775,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,01.7.15.07-0010,"Дюбели пластмассовые с шурупами, диаметр 10 мм, длина 50-60 мм, диаметр шурупа 6 мм, длина шурупа 50-80 мм",100 шт,0.02,,0.04,595.38,1.26,750.18,,30.01,776,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
Н,20.3.04.02,"Знаки, таблички",шт,1.0,,2.0,,,,,,777,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,391.87,778,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,361.86,779,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/812-009.0-1,НР Строительные металлические конструкции,%,93.0,,93.0,,,,,336.53,780,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/774-009,СП Строительные металлические конструкции,%,62.0,,62.0,,,,,224.35,781,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,476.38,,952.75,782,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
90,ТЦ_20.3.04.02_71_6670319178_24.07.2025_02_15.1,Тактильная пиктограмма СП10 Выход из здания 150x150 мм,шт,2.0,1.0,2.0,,,272.0,,544.0,783,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,(Материалы),,,,,,,,,,784,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,544.0,785,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
91,ГЭСН15-06-005-02,Оклейка предварительно подготовленных поверхностей фотообоями: самоклеящимися( прим.),100 м2,0.00504,1.0,0.00504,,,,,,786,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,"Объем=(0,1*5,04) / 100",,,,,,,,,,787,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.1961064,,,,,76.83,788,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,1-100-40,"Средний разряд работы 4,0",чел.-ч,38.91,,0.1961064,,,391.8,,76.83,789,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
Н,01.6.02.01,Обои,100 м2,1.1,,0.005544,,,,,,790,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,76.83,791,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,76.83,792,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/812-015.0-1,НР Отделочные работы,%,100.0,,100.0,,,,,76.83,793,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,Пр/774-015,СП Отделочные работы,%,49.0,,49.0,,,,,37.65,794,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,37958.33,,191.31,795,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
92,ТЦ_01.7.06.14_71_6915012732_28.07.2025_02_22.1,"Лента сигнальная для разметки пола, самоклеящаяся, черно-желтого цвета, шириной 100мм, (рулон 30 м)",м,5.04,1.0,5.04,,,26.69,,134.52,796,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,(Материалы),,,,,,,,,,797,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,134.52,798,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
93,ГЭСН17-01-002-04,"Установка гарнитуры туалетной: вешалок, подстаканников, поручней для ванн и т.д.(прим.)",10 шт,0.2,1.0,0.2,,,,,,799,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
,,Объем=2 / 10,,,,,,,,,,800,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.56,,,,,219.41,801,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,1-100-40,"Средний разряд работы 4,0",чел.-ч,2.8,,0.56,,,391.8,,219.41,802,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,6.7,803,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,,монтажные работы
,01.7.03.04-0001,Электроэнергия,кВт-ч,0.052,,0.0104,,,8.46,,0.09,804,Раздел 3. Адаптация входной группы (внутри),Монтажные работы,материалы,монтажные работы
