номер,обоснование,наименование,ед_изм,кол_на_ед,коэф1,всего_коэф,база_ед,индекс,тек_ед,коэф2,всего_руб,row_index,раздел,вид_работ,тип_работы,категория
,91.06.03-060,"Лебедки электрические тяговым усилием до 5,79 кН (0,59 т)",маш.-ч,0.01,,0.000363,6.62,1.43,9.47,,0.0,38,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.06.05-011,"Погрузчики одноковшовые универсальные фронтальные пневмоколесные, номинальная вместимость основного ковша 2,6 м3, грузоподъемность 5 т",маш.-ч,0.01,,0.000363,,,1591.81,,0.58,39,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4-100-050,ОТм(Зтм) Средний разряд машинистов 5,чел.-ч,0.01,,0.000363,,,450.28,,0.16,40,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.02,,0.000726,,,611.87,,0.44,41,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.02,,0.000726,,,391.8,,0.28,42,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,110.81,43,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,01.7.20.08-0051,Ветошь хлопчатобумажная цветная,кг,5.0,,0.1815,56.11,1.48,83.04,,15.07,44,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,14.5.09.11-0102,Уайт-спирит,кг,32.0,,1.1616,60.6,1.36,82.42,,95.74,45,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,229.85,46,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,118.02,47,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/812-013.0-1,НР Защита строительных конструкций и оборудования от коррозии,%,94.0,,94.0,,,,,110.94,48,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,Пр/774-013,СП Защита строительных конструкций и оборудования от коррозии,%,51.0,,51.0,,,,,60.19,49,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
